source,headline,content,date
Investing.com,Cardano Falls 12% In Rout By Investing.com,"At its highest, Cardano's market cap was $23.917000B. Cardano had traded in 
a range of $0.141072 to $0.157753 in the previous twenty-four hours. Over 
the past ...","Dec 23, 2020"
The Daily Hodl,"Top Trader Bracing for Bitcoin and Ethereum Reversals, Warns Cardano, 
Zilliqa, Polkadot and VeChain in the Crosshairs","The crypto analyst is also keeping tabs on Cardano (ADA). He says the 
Ethereum competitor is poised to lose over 33% of its value from its 
current price of $0.09 ...","Oct 7, 2020"
FXStreet,"ADA price is poised to rebound as the Cardano community prepares for the 
Goguen era","Native tokens are coming out to Cardano, with the Goguen mainnet set to 
launch in February 2021. The official roadmap for Cardano is divided into 
five categories ...","Oct 30, 2020"
TWJ News,Cardano Rolls Out Latest Version Of Daedalus (2.4.1),"A lot has been happening with the Input Output HK and Cardano. The 
platform's Daedalus wallet has been a work in progress for a while now. The 
platform ...","Nov 7, 2020"
Coindesk,Cardano to Launch Hard Fork Before Next Major Development Phase - CoinDesk,"Dubbed “Goguen,” the third phase will be focused on the protocol's 
integration of smart contracts after building Cardano's foundation and 
decentralizing its ...","Dec 5, 2020"
https://bitnewstoday.com/,Cardano Goguen Update Details,"According to Dimitris POULPOULOUS and Volodymyr HULCHENKO, the greatest 
progress in terms of work on the Cardano update has been achieved with 
the ...","Nov 17, 2020"
Yahoo Finance,"Ethereum, Cardano & Polkadot - American Wrap December 28, 2020","Cardano has been trading inside a parallel channel for over a month and 
it's getting closer to a breakout. Bulls have managed to secure several 
critical support ...",1 month ago
AMBCrypto,"Lack of stablecoin regulations could be ‘dangerous,’ says Cardano’s 
Hoskinson","Lack of stablecoin regulations could be 'dangerous,' says Cardano's 
Hoskinson. Namrata Shukla. Published. 2 months ago. on. December 25, 2020.","Dec 25, 2020"
Forex Crunch,"Cardano Price Prediction: ADA in no-trade zone while momentum builds for 
high...","Cardano price is contained inside a symmetrical triangle pattern on the 
12-hour chart. · The digital asset trades right in the middle of the 
pattern awaiting clarity. · It ...","Dec 21, 2020"
FXStreet,"Cardano price is on the verge of a massive move, suggests critical indicator","Cardano price is contained inside an ascending triangle pattern on the 
4-hour chart, ready to burst. The breakout or breakdown will most likely 
drive ADA by 30% ...","Dec 3, 2020"
Crypto News Flash,Cardano: IOHK reports on Goguen’s progress before HFC in December,"Cardano's progress on the ERC20 converter. One of the most interesting 
tools in production for Cardano is the Ethereum ERC20 token converter. This 
tool will ...","Nov 27, 2020"
FXStreet,"Cardano Price Forecast: ADA drops by 6.50% following rejection at $0.11 
resistance line","Cardano has dropped from $0.11 to $0.103 between October 23 and October 28. 
· ADA is on the verge of flashing the buy signal in the 12-hour chart with 
the red ...","Oct 28, 2020"
,,,
CryptoNinjas,Bondly to be first DeFi project enabled on Cardano blockchain,"Initial projects include moving Bondly's cryptocurrency to Cardano, and 
building e-commerce marketplaces to make trading digital assets a simpler 
and more ...","Dec 10, 2020"
Benzinga,"Ripple, Cardano & Chainlink - American Wrap For December ...","Cardano price had a major 13% jump after a clear breakout from an ascending 
triangle pattern on the 12-hour chart. Despite the significant pump, it 
seems that ...",1 month ago
AMBCrypto,Cardano short-term Price Analysis: 25 November,"Attaining a new $0.1835 yesterday, Cardano is currently on a minor decline 
on the short-term chart. While the collective market is still bullish, a 
little bit of neutrality ...","Nov 25, 2020"
Live Bitcoin News,Cardano (ADA) Price Analysis: Signs of a Bearish Breakdown,"Cardano price started a downside correction after it failed to surpass the 
$0.1740 resistance against the US Dollar. The ADA/USD pair traded below the 
$0.1700 ...","Dec 8, 2020"
https://cryptohamster.org/,Не все в индустрии криптовалют в восторге от последних...,"... «Только дурак» не станет искать нефиатные инвестиции · 19.02.2021 
Виктория Ляпота 0 · Джин Симмонс сказал, что добавил в свои сумки 
Cardano ...","Oct 23, 2020"
BeInCrypto,Cardano (ADA) Fails to Overtake Crucial Resistance Level,"Cardano (ADA) has failed to break out above a long-term descending 
resistance line and suffered a sharp drop after its rejection. Technical 
indicators suggest ...","Oct 30, 2020"
TechBullion,"CEO at WePlay Esports Oleh Humeniuk Talks About the Industry, Media Holding 
Company, and Hobbies",Cardano. 1.4K. Cryptocurrency. Feburary ...,"Dec 8, 2020"
CryptoSlate,"What it takes to make Cardano (ADA) the obvious choice for Fortune 500 
companies","Work on Voltaire, Cardano's governance era, is also heavily underway. With 
most of these functionalities set to see the light of day at various times 
next year, the ...","Dec 12, 2020"
newsbtc.com,Charted: Cardano (ADA) Needs To Clear $0.10 For Hopes of a Fresh Rally,"Cardano's price is correcting higher from the $0.0880 support. Bitcoin 
price is surging, but ADA must climb above $0.0980 and $0.1000 to start a 
strong rally.","Nov 5, 2020"
FXStreet,"Cardano Price Prediction: ADA regains crucial support but its network 
activity raises red flags","Cardano (ADA), the 10th largest digital asset with the current market 
capitalization of $3.4 billion, has been doing well recently. The coin has 
gained over 3% in ...","Nov 20, 2020"
The Coin Radar,Analyst Claims XRP has Room for a 100% Rally as Whales Accumulate,"Bitcoin (BTC) · Ethereum (ETH) · Bitcoin Cash (BCH) · Litecoin (LTC) · NEO 
(NEO) · Ripple (XRP) · Stellar · EOS · Cardano · Tron · Monero. Industry. 
HeatMap ...","Nov 1, 2020"
Yahoo Finance Australia,"Infinito Wallet and Moonstake enable staking and investment tools for 
Cardano ADA community","With the recent arrival of Cardano's Shelley era and the explosive growth 
of ADA's market value by over 50%, Infinito Wallet continues its steady 
support for ADA ...","Oct 27, 2020"
CoinJournal,Price analysis for Litecoin and Cardano October 28,"Litecoin and Cardano are also struggling at the time of writing but could 
rally higher if bulls hold gains at key levels. Litecoin price. LTC/USD 
recently broke above ...","Oct 28, 2020"
Crypto News Flash,"Cardano: Update on financial contracts, Goguen, Marlowe and Plutus","Cardano: Update on financial contracts, Goguen, Marlowe and Plutus · IOHK 
CEO Charles Hoskinson reveals continued collaboration with Runtime 
Verification ...","Nov 22, 2020"
Crypto Briefing,Massive Supply Barrier Is Keeping Cardano Prices From Breaking Out,"Cardano is poised for further losses as multiple technical indexes are 
flashing sell signals while support continues to lose strength. Don't Miss 
Market Moving ...","Oct 26, 2020"
The Cryptocurrency Analytics,"A Cardano (ADA) Decentralized Voting System Might Just be What the World 
Need to Change its Political Outlook","Charles Hoskinson of Cardano, while presenting his speech at the 
Independent National Convention, began laying out some important political 
history of the ...","Oct 27, 2020"
The Block,Cardano is 'building bridges' to Ethereum with new KEVM ...,"Cardano's smart contracts are set to fully launch in the coming months. The 
platform is promising to be more scalable, flexible, secure, and even 
more ...","Dec 18, 2020"
BTCMANAGER,Cardano (ADA) is Saving Big Announcements for December ...,"Cardano will update the community on the two products they are working on 
within the next 14 days, Charles Hoskinson–the lead of Input Output Hong 
Kong ...","Nov 24, 2020"
AMBCrypto,Cardano: Goguen rollout continues with token locking update,"Unlike other hard forks, Cardano handles the hard fork automatically, 
without stopping block production. This offered a smooth up-gradation, 
allowing new features ...","Dec 3, 2020"
TWJ News,Cardano [ADA] To Have A Merry Christmas; Bitcoin Hits New ATH,"The crypto industry had once again welcomed the bulls into its market. 
Cardano [ADA], XRP, Litecoin [LTC], as well as Bitcoin Cash [BNB] were 
gaining big.","Dec 25, 2020"
FXStreet,"Cardano Price Prediction: ADA to offer selling opportunity following 85% 
breakout","Cardano price is up 60% in the past five days, hitting a new 2020-high at 
$0.183. · Following the massive rally, the digital asset is presenting some 
bearish signs in ...","Nov 24, 2020"
Cointelegraph,"The Cardano Foundation will preserve its independence, says new CEO","He also said that he intends to maintain the Foundation's independence from 
Cardano's founder and IOHK CEO, Charles Hoskinson, who created this 
structure in ...","Oct 2, 2020"
CryptoSlate,Exploring the idea of interoperability between Cardano and Litecoin,"A strong initiative to make Litecoin the first blockchain Cardano can 
interact with. Set to introduce native token functionality with Goguen, 
Cardano has already ...","Nov 24, 2020"
TWJ News,Cardano [ADA] Takes A Stroll In The Bearish Territory,"Certain coins like Cardano [ADA], Bitcoin Cash [BCH] as well as Binance 
Coin [BNB] were in sync with the price movement of the king coin as they 
were seen ...","Dec 15, 2020"
CriptoPasion,Revisión de la billetera de criptomonedas Jaxx,"... (ETC) Ethereum (ETH) Gnosis (GNO) Iconomi (ICN) Melon (MLN) Augur (REP) 
Tether (USDT) Monero (XMR) Ripple (XRP) Zcash (ZEC) Cardano (ADA) ...","Oct 10, 2020"
AMBCrypto,Cardano Price Analysis: 16 December,"Cardano seems to have broken out of its consolidation as its price slipped 
down. However, with the coin trading at $0.1514 at press time the recovery 
was as ...","Dec 16, 2020"
CryptoGlobe,SingularityNET Announces Partnership With Cardano Creator IOHK,"-The collaboration will utilize cardano's network to improve the scale of 
AI services. Blockchain-based artificial intelligence ...","Oct 5, 2020"
Crypto News Flash,Cardano: These are the projects that are competing for 2 million ADA,"The Cardano Effect has presented 3 candidates from the project Catalyst. · 
The selected projects will receive $250,000 or 2 million ADA from Cardano 
Fund2.","Oct 15, 2020"
CryptoPotato,"Cardano Price Analysis: ADA Soars 15% Over The Past Week – Will Bulls 
Continue Higher?","Cardano bounced from the support at $0.0932 (.5 Fib Retracement) this week, 
which allowed it to surge by 15%. On the way up, ADA broke above resistance 
at ...","Oct 11, 2020"
The Coin Radar,"EU removes this crypto hotspot from tax haven blacklist, clearing path for 
further adoption","Bitcoin (BTC) · Ethereum (ETH) · Bitcoin Cash (BCH) · Litecoin (LTC) · NEO 
(NEO) · Ripple (XRP) · Stellar · EOS · Cardano · Tron · Monero. Industry. 
HeatMap ...","Oct 6, 2020"
Investing.com,Cardano Climbs 10% In Bullish Trade By Investing.com,"The move upwards pushed Cardano's market cap up to $4.611490B, or 0.91% of 
the total cryptocurrency market cap. At its highest, Cardano's market cap 
was ...","Nov 28, 2020"
AMBCrypto,Cardano Price Analysis: 21 December,"The last 30 days have been interesting from a bullish standpoint for 
Cardano. Between 21 November and 21 December, the crypto-asset had climbed 
to its ...","Dec 21, 2020"
The Coin Radar,Coinbase Has Raked in $14B in New Institutional Assets Since April,"... EOS · Cardano · Tron · Monero. Industry. HeatMap · People of blockchain 
· Blockchain YouTube and Twitter Accounts To Follow In 2021 · Events · 
Tutorials.","Nov 21, 2020"
TechBullion,"Blockchain Technology In Real Estate: Interview With Barry Lipscombe CEO 
and founder of Contracoin","... Moynihan, the Founder and CEO of Epic Funds, about Epicenter... 
Cardano. 1.6K. Cryptocurrency. Feburary – March Analysis For Cardano 
(ADAUSDT).","Nov 2, 2020"
Live Bitcoin News,Cardano (ADA) Price Analysis: Bulls Aim Crucial Break above $0.18,"The price is likely to rise sharply if it clears the $0.1780 and $0.1800 
resistance levels. Cardano price is showing a lot of positive signs above 
$0.1600 against the ...","Dec 1, 2020"
Investing.com,Cardano Falls 11% In Rout By Investing.com,"The move downwards pushed Cardano's market cap down to $4.679783B, or 0.84% 
of the total cryptocurrency market cap. At its highest, Cardano's market 
cap ...","Dec 4, 2020"
Crypto News Flash,Cardano: Goguen will foster adoption and bring ADA to millions of people,"Cardano's new features with Goguen. Goguen will bring one of the most 
expected features, smart contracts and the development of decentralized 
applications ( ...","Oct 17, 2020"
CryptoSlate,How Cardano will handle native tokens on its platform,"To understand why Cardano's native token functionality will change the DeFi 
game, it's important to know how Ethereum handles it. Namely, both fungible 
and non ...","Dec 11, 2020"
Crypto Economy,IOHK Introduces Smash for Cardano; a New Service for Managing Metadata,"Managing Metadata Information in Cardano. Node decentralization is one of 
the most vital concepts in the Cardano network. IOHK believes with more 
stake pools ...","Nov 18, 2020"
Crowdfund Insider,"Blockchain Platform Cardano’s Marlowe Language May be Used to Write 
Financial Contracts Supporting P2P Lending, Other Use Cases","Blockchain Platform Cardano's Marlowe Language May be Used to Write 
Financial Contracts Supporting P2P Lending, Other Use Cases.","Oct 10, 2020"
AMBCrypto,"Cardano developers will take charge of their Oracles in 2021, reveals 
Hoskinson","Following news of the partnership with Wolfram Alpha, Cardano Founder 
Charles Hoskinson has revealed that Cardano will be giving developers the 
freedom to ...","Dec 21, 2020"
Crypto News Flash,Cardano: IOHK announces new ADA delegation program,"IOHK will withdraw all of its staking pools except for 1 at the end of 
December to encourage decentralization of Cardano. ADA's new delegation 
strategy will be ...","Nov 25, 2020"
CryptoSlate,"Cardano founder says XRP “not a security,” but there’s a catch","However, the Cardano founder added, “Was Ripple a security at some point 
during its life? I'm sure a fair argument could be made.” Hoskinson, who 
was part of ...",1 month ago
Crypto News Flash,"Cardano: IOHK signs contract with Runtime Verification, roadmap for Goguen 
to be released end of October","The roadmap for Cardano's Goguen will be released on October 29th with 
IOHK's monthly product update. In a new AMA, IOHK CEO Charles Hoskinson 
once ...","Oct 11, 2020"
The Cryptocurrency Analytics,"Cardano (ADA) Leveling the PlayField on Shelley- More Opportunities for 
Smaller Stake Pools","Shelley's main net brought staking and stake pools to Cardano. Since the 
update, the blockchain has witnessed more than 1200 stake pools. Though 
exciting ...","Nov 26, 2020"
FXStreet,"Cardano price faces one final resistance level before a full-blown rally 
towards $0.20","Cardano price is on the verge of a massive breakout as the entire market 
turned bullish. The digital asset needs to crack a critical resistance 
level located at $0.173 ...","Dec 17, 2020"
AMBCrypto,Cardano Price Analysis: 28 December,"Cardano's price recently dipped out of the triangle pattern, however, that 
was for a brief moment as the price surged and the pattern continued. This 
surge was due ...",1 month ago
Nasdaq,"CANADA STOCKS-TSX opens higher on materials gains, upbeat manufacturing data","The views and opinions expressed herein are the views and opinions of the 
author and do not necessarily reflect those of Nasdaq, Inc. Trending 
Articles. Cardano ...","Nov 2, 2020"
TWJ News,"Chainlink, Cardano, XRP Technical Analysis On 8th November 2020","Several altcoins such as Chainlink, Cardano, and XRP underwent a minor 
pullback in tandem with Bitcoin's brief depreciation below the $15k. The 
global ...","Nov 8, 2020"
newsbtc.com,Cardano Protocol Hard Forks in Preparation For Goguen Upgrade,"Cardano Gears Up For Smart Contracts. At present, ADA is the only token on 
the Cardano network. However, in line with ambitions to become a 
multi-asset ledger, ...","Dec 13, 2020"
CryptoNinjas,Korean crypto exchange Korbit lists Cardano (ADA) token,"ADA is the digital asset of the blockchain platform Cardano network. 
Cardano is developed of Haskell which is well known for its security. 
Cardano developed and ...","Dec 17, 2020"
Investing.com UK,Explainer-A Brexit trade deal at last - so what? By Reuters,"Cryptocurrency Leaders: Cardano And Polkadot, Four And Six On The Hit... By 
Andy Hecht - Feb 18, 2021 1 · Philip Hopf · Bitcoin & Ethereum - 
Technical ...","Dec 24, 2020"
Coindesk,"Amid DeFi Hacks, Nervos and Cardano Join Forces to Improve Smart Contract 
Security - CoinDesk","Public chain projects Nervos and Cardano have jointly launched a research 
initiative to enhance the security of smart contracts by improving 
Unspent ...","Dec 15, 2020"
FXStreet,"Cryptocurrencies Price Prediction: Bitcoin, Stellar and Cardano – European 
Wrap 14 December","Cardano (ADA) occupies the 8th position in the global cryptocurrency market 
rating. The coin is changing hands at $0.15 after the downside correction 
from the ...","Dec 14, 2020"
Benzinga,"Cardano, EOS & Chainlink - American Wrap: 11/24/2020","Cardano had a significant breakout on November 20 above a critical 
resistance level established at $0.112. After the massive rally, the 
digital asset shows some ...","Nov 24, 2020"
newsbtc.com,Small Cardano Stake Pool Operators Raise Concerns Parameter Increase,"Fully decentralizing Cardano is the network's primary objective. But 
considering all of the factors in play, achieving this is no mean feat. 
Developers IOHK must ...","Nov 13, 2020"
Yahoo Finance,Pakistan Oil Refining Industry Report 2020 - ResearchAndMarkets.com,"... Dogecoin Army Recruit Gene Simmons Turns Cardano Adherent — Here's 
WhyDelay Pfizer COVID-19 Vaccine's 2nd Inoculation To Boost Supply?","Nov 4, 2020"
Yahoo Finance,"Will LiveRamp (RAMP) Report Negative Earnings Next Week? What You Should 
Know","... Dogecoin Army Recruit Gene Simmons Turns Cardano Adherent — Here's 
WhyDelay Pfizer COVID-19 Vaccine's 2nd Inoculation To Boost Supply?","Nov 2, 2020"
Crypto News Flash,"Cardano: 90 commercial deals in the pipeline, inquiries for CBDC in Africa","Cardano's next era, Goguen, is still on schedule, although the publication 
of the roadmap with final dates is delayed. IOHK has 90 potential 
commercial deals for ...","Oct 4, 2020"
FXStreet,Cardano price only faces one last critical obstacle before a jump to $0.13,"Can Cardano's price finally rise above $0.112? On the daily chart, the 
price of Cardano has climbed above the 50-SMA and the 200-SMA, turning both 
into support ...","Nov 6, 2020"
Crypto News Flash,Cardano: Hoskinson suggest DIDs as solution for new crypto-wallet regulation,"Cardano offers a decentralized identity solution. In that sense, the 
inventor of Cardano responded that the “regulations are moving there”. In 
other words, ...","Nov 26, 2020"
TechBullion,"Interview with Roberto Casula, Eni Senior Executive","... for cryptocurrencies and for the whole world) 2020, everyone thinks... 
Cardano. 1.5K. Cryptocurrency. Feburary – March Analysis For Cardano 
(ADAUSDT).","Oct 28, 2020"
iNVEZZ,"Cardano (ADA) price struggling at $0.10 resistance despite ongoing election 
uncertainty","The attention of investors is focused currently on the US presidential 
elections and the price of Cardano is also advancing despite ongoing 
election uncertainty.","Nov 4, 2020"
iNVEZZ,Cardano will not become a privacy coin to remain available to banks,"Sign-up for the Invezz newsletter, today. Gregaard spoke quite a bit about 
Cardano's most important use cases, and what problems can be solved using 
the project ...","Nov 10, 2020"
Smartereum,"Cardano News Today - Cardano Releases New Roadmap Spotting Major Headway in 
Adoption and Growth","Cardano has Released its Latest Roadmap for the Upcoming Goguen Update; The 
Roadmap Shows That There Has been a Lot of Progress in Terms of ...","Dec 15, 2020"
CryptoSlate,Cardano parent IOHK partners with Nervos to improve smart contract security,"IOHK, the company behind Cardano, has entered into a partnership with 
Nervos, a multi-asset blockchain network based in China. The two have 
jointly ...","Dec 16, 2020"
FXStreet,Cardano Price Analysis: ADA could slide to $0.14 before a major upswing,"Cardano is trading under growing resistance following rejection at the 
triangle pattern's descending trendline. An upswing is expected to kick in 
at $0.14, with ...","Dec 16, 2020"
newsbtc.com,Hoskinson Accuses Wikipedia of Censorship Following Refusal to List Cardano,"What's more, considering Cardano's scientific credentials, Hoskinson 
believes there is more at play than merely inadequate source data on the 
project. Brief ...","Oct 23, 2020"
AMBCrypto,"Cardano, Monero, BAT Price Analysis: 22 December","Cardano had a long-term bullish outlook as it traded above the mid-range 
after establishing and sweeping key highs and lows. Yet its short-term 
momentum was ...","Dec 22, 2020"
finanzen.net,NatWest-Aktie gefragt: NatWest rechnet bei Kreditausfällen ...,"... Stellar · Verge · Dash · Cardano · Monero · Kryptowährungen kaufen · 
Bitcoin kaufen · Ethereum kaufen · Ripple kaufen · Bitcoin Cash kaufen · 
Litecoin kaufen ...","Oct 30, 2020"
Yahoo Finance,"PAOG Publishes Q3 RPT Including PURA And KALY Acquisitions - Now One Key 
Step Closer To Dividend Distribution","... Dogecoin Army Recruit Gene Simmons Turns Cardano Adherent — Here's 
WhyDelay Pfizer COVID-19 Vaccine's 2nd Inoculation To Boost Supply?","Nov 17, 2020"
CryptoSlate,"Next Goguen update brings token locking to Cardano: here’s what this will 
mean","The next big protocol upgrade planned for Cardano will bring token locking 
to the blockchain, a feature that will prepare the platform for smart 
contracts and ...","Dec 4, 2020"
Altcoin Buzz,"Crypto Market Update: Blockstack (STX), Chainlink (LINK), and Cardano (ADA) 
- Technical Analysis","Crypto Market Update: Blockstack (STX), Chainlink (LINK), and Cardano 
(ADA). BTC breaks its ATH and reached the high of $23,500+. Altcoins should 
start ...","Dec 19, 2020"
AMBCrypto,Cardano’s Goguen roadmap scheduled for release in late-October,"Cardano's Goguen roadmap scheduled for release in late-October. Samyuktha 
Sriram. Published. 4 months ago. on. October 12, ...","Oct 12, 2020"
FXStreet,"Cardano Price Forecast: ADA flashes sell signal as bears get ready to take 
control","Cardano found support at the $0.076 support line and bounced. As of press 
time, ADA is trading for $0.107 and is consolidating between 100-day SMA 
($0.114) ...","Oct 22, 2020"
BeInCrypto,Cardano (ADA) Shoots for Highest Weekly Close Since 2018,"Cardano is in the process of moving above the long-term $0.166 resistance 
area. · ADA is following a short-term ascending support line. · It's likely 
in an extended ...",1 month ago
AMBCrypto,"Cardano, IOTA, DigiByte Price Analysis: 18 December","Cardano, IOTA, DigiByte Price Analysis: 18 December. Jibin George. 
Published. 2 months ago. on. December 18, 2020.","Dec 18, 2020"
Crypto Briefing,Cardano Poised to Retrace Before 30% Breakout,"Key Takeaways. Cardano has gone through a prolonged consolidation period 
that kicked off in late November. While ADA remains stagnant, momentum 
is ...","Dec 18, 2020"
Crypto News Flash,Github: Cardano (ADA) again on first place before Ethereum (ETH) and BTC,"According to the latest data from Github, Cardano again has the highest 
developer activity this month. On place 2 of the ranking is Ethereum, 
Bitcoin follows on ...","Oct 14, 2020"
Crypto Briefing,"Litecoin One Step Closer to Cardano Partnership and ""Velvet Fork""","Litecoin is preparing to work with Cardano on a ""velvet fork."" That fork 
will add several features including cross-chain fund settlement, smart 
contracts, and ...","Oct 14, 2020"
Crypto News Flash,Hoskinson: Cardano can support Donald Trump in legal elections,"Charles Hoskinson has offered Cardano's support to President Donald Trump 
in order to track the elections safely and legally on the blockchain.","Nov 2, 2020"
CoinJournal,eToro the first platform to bring staking for Cardano (ADA).,"eToro users that are also Cardano and Tron holders will get monthly staking 
rewards. As the trading system for the payout is automated and fully 
incorporated, ...","Oct 2, 2020"
FXStreet,"Cardano Price Prediction: ADA eying up a potential bounce, according to 
technicals","Cardano showing signs of bullish strength. The digital asset has already 
confirmed a daily uptrend after establishing a higher low at $0.0893 
compared to the last ...","Oct 15, 2020"
FXStreet,"Cardano price could be facing a steeper correction, suggests technicals","Cardano price has to climb above this level to avoid another pullback. On 
the 1-hour chart, ADA is bounded inside what seems to be a bear flag, which 
is a bearish ...","Nov 27, 2020"
Nasdaq,BUZZ-U.S. STOCKS ON THE MOVE-Chefs' Warehouse ...,"The views and opinions expressed herein are the views and opinions of the 
author and do not necessarily reflect those of Nasdaq, Inc. Trending 
Articles. Cardano ...","Oct 28, 2020"
CryptoSlate,"Cardano announces integration with Wolfram Alpha to create a new type of 
oracle","While Cardano isn't the first blockchain that integrated with Wolfram's 
computational technology and knowledge base, the partnership still 
represents a major step ...","Dec 17, 2020"
CryptoSlate,"This shift in the k-parameter marks the next phase of Cardano’s 
decentralization","Cardano's k-parameter is set to increase to 500 on Dec. 6, drastically 
diminishing rewards for large, oversaturated stake pools. The sharp rise in 
the parameter ...","Nov 19, 2020"
FXStreet,Cardano price prepares for a 30% dump as ADA technicals turn bearish,"Cardano was trading inside an ascending triangle on the 1-hour chart and 
had a breakdown on December 4. After losing the trendline support at $0.158 
the digital ...","Dec 4, 2020"
BTCMANAGER,Ergo Launches Oracle Solution for Cardano (ADA) to Foster ...,"Ergo wrote: “One of Cardano's oracles is utilizing data provided by Ergo's 
oracle pools. Marek, a Cardano Stake Pool operator, has built a simple 
solution ...","Nov 10, 2020"
FXStreet,Cardano Price Forecast: ADA on the cusp of a remarkable 26% rally to $0.132,"Cardano's bulls swing back into action. The smart contract token is trading 
at $0.105 at the time of writing. Support at $0.1 played a crucial role in 
the ongoing ...","Nov 17, 2020"
FXStreet,"Cardano Price Forecast: ADA consolidation to prevail ahead of significant 
breakout","Cardano plans to hold in consolidation ahead of 32% breakout to $0.36. 
Cardano launches new decentralized oracles for blockchain interoperability 
and ...","Nov 12, 2020"
newsbtc.com,"Hoskinson Estimates March 2021 For Full Decentralization of the Cardano 
Network","IOHK CEO Charles Hoskinson hosted a surprise AMA recently in which he 
announced a reduction in Cardano's “D” (decentralization) parameter to 0.5.","Oct 28, 2020"
