,source,date,headline,content
39,CryptoSlate,"Dec 12, 2020",takes make cardano ( ) obvious choice fortune 500 companies,"work voltaire , cardano 's governance , heavily underway . functionalities set see light day various times next year , ..."
40,newsbtc.com,"Nov 5, 2020",charted : cardano ( ) needs clear $ 0.10 hopes fresh rally,"cardano 's price correcting higher $ 0.0880 support . bitcoin price surging , must climb $ 0.0980 $ 0.1000 start strong rally ."
41,FXStreet,"Nov 20, 2020",cardano price prediction : regains crucial support network activity raises red flags,"cardano ( ) , 10th largest digital asset current market capitalization $ 3.4 billion , well recently . coin gained 3 % ..."
42,The Coin Radar,"Nov 1, 2020",analyst claims xrp room 100 % rally whales accumulate,bitcoin ( btc ) · ethereum ( eth ) · bitcoin cash ( bch ) · litecoin ( ltc ) · neo ( neo ) · ripple ( xrp ) · stellar · eos · cardano · tron · monero . industry . heatmap ...
43,Yahoo Finance Australia,"Oct 27, 2020",infinito wallet moonstake enable staking investment tools cardano community,"recent arrival cardano 's shelley explosive growth 's market value 50 % , infinito wallet continues steady support ..."
44,CoinJournal,"Oct 28, 2020",price analysis litecoin cardano october 28,litecoin cardano struggling time writing could rally higher bulls hold gains key levels . litecoin price . ltc/usd recently broke ...
45,Crypto News Flash,"Nov 22, 2020","cardano : update financial contracts , goguen , marlowe plutus","cardano : update financial contracts , goguen , marlowe plutus · iohk ceo charles hoskinson reveals continued collaboration runtime verification ..."
46,Crypto Briefing,"Oct 26, 2020",massive supply barrier keeping cardano prices breaking,cardano poised losses multiple technical indexes flashing sell signals support continues lose strength . n't miss market moving ...
47,The Cryptocurrency Analytics,"Oct 27, 2020",cardano ( ) decentralized voting system might world need change political outlook,"charles hoskinson cardano , presenting speech independent national convention , began laying important political history ..."
48,The Block,"Dec 18, 2020",cardano 'building bridges ' ethereum new kevm ...,"cardano 's smart contracts set fully launch coming months . platform promising scalable , flexible , secure , even ..."
49,BTCMANAGER,"Nov 24, 2020",cardano ( ) saving big announcements december ...,"cardano update community two products working within next 14 days , charles hoskinson–the lead input output hong kong ..."
50,AMBCrypto,"Dec 3, 2020",cardano : goguen rollout continues token locking update,"unlike hard forks , cardano handles hard fork automatically , without stopping block production . offered smooth up-gradation , allowing new features ..."
51,TWJ News,"Dec 25, 2020",cardano [ ] merry christmas ; bitcoin hits new ath,"crypto industry welcomed bulls market . cardano [ ] , xrp , litecoin [ ltc ] , well bitcoin cash [ bnb ] gaining big ."
52,FXStreet,"Nov 24, 2020",cardano price prediction : offer selling opportunity following 85 % breakout,"cardano price 60 % past five days , hitting new 2020-high $ 0.183 . · following massive rally , digital asset presenting bearish signs ..."
53,Cointelegraph,"Oct 2, 2020","cardano foundation preserve independence , says new ceo","said intends maintain foundation 's independence cardano 's founder iohk ceo , charles hoskinson , created structure ..."
54,CryptoSlate,"Nov 24, 2020",exploring idea interoperability cardano litecoin,"strong initiative make litecoin first blockchain cardano interact . set introduce native token functionality goguen , cardano already ..."
55,TWJ News,"Dec 15, 2020",cardano [ ] takes stroll bearish territory,"certain coins like cardano [ ] , bitcoin cash [ bch ] well binance coin [ bnb ] sync price movement king coin seen ..."
56,CriptoPasion,"Oct 10, 2020",revisión billetera criptomonedas jaxx,... ( etc ) ethereum ( eth ) gnosis ( gno ) iconomi ( icn ) melon ( mln ) augur ( rep ) tether ( usdt ) monero ( xmr ) ripple ( xrp ) zcash ( zec ) cardano ( ) ...
57,AMBCrypto,"Dec 16, 2020",cardano price analysis : 16 december,"cardano seems broken consolidation price slipped . however , coin trading $ 0.1514 press time recovery ..."
58,CryptoGlobe,"Oct 5, 2020",singularitynet announces partnership cardano creator iohk,-the collaboration utilize cardano 's network improve scale services . blockchain-based artificial intelligence ...
59,Crypto News Flash,"Oct 15, 2020",cardano : projects competing 2 million,"cardano effect presented 3 candidates project catalyst . · selected projects receive $ 250,000 2 million cardano fund2 ."
60,CryptoPotato,"Oct 11, 2020",cardano price analysis : soars 15 % past week – bulls continue higher ?,"cardano bounced support $ 0.0932 ( .5 fib retracement ) week , allowed surge 15 % . way , broke resistance ..."
61,The Coin Radar,"Oct 6, 2020","removes crypto hotspot tax blacklist , clearing path adoption",bitcoin ( btc ) · ethereum ( eth ) · bitcoin cash ( bch ) · litecoin ( ltc ) · neo ( neo ) · ripple ( xrp ) · stellar · eos · cardano · tron · monero . industry . heatmap ...
62,Investing.com,"Nov 28, 2020",cardano climbs 10 % bullish trade investing.com,"move upwards pushed cardano 's market cap $ 4.611490b , 0.91 % total cryptocurrency market cap . highest , cardano 's market cap ..."
63,AMBCrypto,"Dec 21, 2020",cardano price analysis : 21 december,"last 30 days interesting bullish standpoint cardano . 21 november 21 december , crypto-asset climbed ..."
64,The Coin Radar,"Nov 21, 2020",coinbase raked $ 14b new institutional assets since april,... eos · cardano · tron · monero . industry . heatmap · people blockchain · blockchain youtube twitter accounts follow 2021 · events · tutorials .
65,TechBullion,"Nov 2, 2020",blockchain technology real estate : interview barry lipscombe ceo founder contracoin,"... moynihan , founder ceo epic funds , epicenter ... cardano . 1.6k . cryptocurrency . feburary – march analysis cardano ( adausdt ) ."
66,Live Bitcoin News,"Dec 1, 2020",cardano ( ) price analysis : bulls aim crucial break $ 0.18,price likely rise sharply clears $ 0.1780 $ 0.1800 resistance levels . cardano price showing lot positive signs $ 0.1600 ...
67,Investing.com,"Dec 4, 2020",cardano falls 11 % rout investing.com,"move downwards pushed cardano 's market cap $ 4.679783b , 0.84 % total cryptocurrency market cap . highest , cardano 's market cap ..."
68,Crypto News Flash,"Oct 17, 2020",cardano : goguen foster adoption bring millions people,"cardano 's new features goguen . goguen bring expected features , smart contracts development decentralized applications ( ..."
69,CryptoSlate,"Dec 11, 2020",cardano handle native tokens platform,"understand cardano 's native token functionality change defi game , 's important know ethereum handles . namely , fungible ..."
70,Crypto Economy,"Nov 18, 2020",iohk introduces smash cardano ; new service managing metadata,managing metadata information cardano . node decentralization vital concepts cardano network . iohk believes stake pools ...
71,Crowdfund Insider,"Oct 10, 2020","blockchain platform cardano ’ marlowe language may used write financial contracts supporting p2p lending , use cases","blockchain platform cardano 's marlowe language may used write financial contracts supporting p2p lending , use cases ."
72,AMBCrypto,"Dec 21, 2020","cardano developers charge oracles 2021 , reveals hoskinson","following news partnership wolfram alpha , cardano founder charles hoskinson revealed cardano giving developers freedom ..."
73,Crypto News Flash,"Nov 25, 2020",cardano : iohk announces new delegation program,iohk withdraw staking pools except 1 december encourage decentralization cardano . 's new delegation strategy ...
74,CryptoSlate,1 month ago,"cardano founder says xrp “ security , ” ’ catch","however , cardano founder added , “ ripple security point life ? 'm sure fair argument could made. ” hoskinson , part ..."
75,Crypto News Flash,"Oct 11, 2020","cardano : iohk signs contract runtime verification , roadmap goguen released october","roadmap cardano 's goguen released october 29th iohk 's monthly product update . new , iohk ceo charles hoskinson ..."
76,The Cryptocurrency Analytics,"Nov 26, 2020",cardano ( ) leveling playfield shelley- opportunities smaller stake pools,"shelley 's main net brought staking stake pools cardano . since update , blockchain witnessed 1200 stake pools . though exciting ..."
77,FXStreet,"Dec 17, 2020",cardano price faces final resistance level full-blown rally towards $ 0.20,cardano price verge massive breakout entire market turned bullish . digital asset needs crack critical resistance level located $ 0.173 ...
78,AMBCrypto,1 month ago,cardano price analysis : 28 december,"cardano 's price recently dipped triangle pattern , however , brief moment price surged pattern continued . surge due ..."
79,Nasdaq,"Nov 2, 2020","canada stocks-tsx opens higher materials gains , upbeat manufacturing data","views opinions expressed herein views opinions author necessarily reflect nasdaq , inc. trending articles . cardano ..."
80,TWJ News,"Nov 8, 2020","chainlink , cardano , xrp technical analysis 8th november 2020","several altcoins chainlink , cardano , xrp underwent minor pullback tandem bitcoin 's brief depreciation $ 15k . global ..."
81,newsbtc.com,"Dec 13, 2020",cardano protocol hard forks preparation goguen upgrade,"cardano gears smart contracts . present , token cardano network . however , line ambitions become multi-asset ledger , ..."
82,CryptoNinjas,"Dec 17, 2020",korean crypto exchange korbit lists cardano ( ) token,digital asset blockchain platform cardano network . cardano developed haskell well known security . cardano developed ...
83,Investing.com UK,"Dec 24, 2020",explainer-a brexit trade deal last - ? reuters,"cryptocurrency leaders : cardano polkadot , four six hit ... andy hecht - feb 18 , 2021 1 · philip hopf · bitcoin & ethereum - technical ..."
84,Coindesk,"Dec 15, 2020","amid defi hacks , nervos cardano join forces improve smart contract security - coindesk",public chain projects nervos cardano jointly launched research initiative enhance security smart contracts improving unspent ...
85,FXStreet,"Dec 14, 2020","cryptocurrencies price prediction : bitcoin , stellar cardano – european wrap 14 december",cardano ( ) occupies 8th position global cryptocurrency market rating . coin changing hands $ 0.15 downside correction ...
86,Benzinga,"Nov 24, 2020","cardano , eos & chainlink - american wrap : 11/24/2020","cardano significant breakout november 20 critical resistance level established $ 0.112 . massive rally , digital asset shows ..."
87,newsbtc.com,"Nov 13, 2020",small cardano stake pool operators raise concerns parameter increase,"fully decentralizing cardano network 's primary objective . considering factors play , achieving mean feat . developers iohk must ..."
88,Yahoo Finance,"Nov 4, 2020",pakistan oil refining industry report 2020 - researchandmarkets.com,... dogecoin army recruit gene simmons turns cardano adherent — 's whydelay pfizer covid-19 vaccine 's 2nd inoculation boost supply ?
89,Yahoo Finance,"Nov 2, 2020",liveramp ( ramp ) report negative earnings next week ? know,... dogecoin army recruit gene simmons turns cardano adherent — 's whydelay pfizer covid-19 vaccine 's 2nd inoculation boost supply ?
90,Crypto News Flash,"Oct 4, 2020","cardano : 90 commercial deals pipeline , inquiries cbdc africa","cardano 's next , goguen , still schedule , although publication roadmap final dates delayed . iohk 90 potential commercial deals ..."
91,FXStreet,"Nov 6, 2020",cardano price faces last critical obstacle jump $ 0.13,"cardano 's price finally rise $ 0.112 ? daily chart , price cardano climbed 50-sma 200-sma , turning support ..."
92,Crypto News Flash,"Nov 26, 2020",cardano : hoskinson suggest dids solution new crypto-wallet regulation,"cardano offers decentralized identity solution . sense , inventor cardano responded “ regulations moving ” . words , ..."
93,TechBullion,"Oct 28, 2020","interview roberto casula , senior executive","... cryptocurrencies whole world ) 2020 , everyone thinks ... cardano . 1.5k . cryptocurrency . feburary – march analysis cardano ( adausdt ) ."
94,iNVEZZ,"Nov 4, 2020",cardano ( ) price struggling $ 0.10 resistance despite ongoing election uncertainty,attention investors focused currently us presidential elections price cardano advancing despite ongoing election uncertainty .
95,iNVEZZ,"Nov 10, 2020",cardano become privacy coin remain available banks,"sign-up invezz newsletter , today . gregaard spoke quite bit cardano 's important use cases , problems solved using project ..."
96,Smartereum,"Dec 15, 2020",cardano news today - cardano releases new roadmap spotting major headway adoption growth,cardano released latest roadmap upcoming goguen update ; roadmap shows lot progress terms ...
97,CryptoSlate,"Dec 16, 2020",cardano parent iohk partners nervos improve smart contract security,"iohk , company behind cardano , entered partnership nervos , multi-asset blockchain network based china . two jointly ..."
98,FXStreet,"Dec 16, 2020",cardano price analysis : could slide $ 0.14 major upswing,"cardano trading growing resistance following rejection triangle pattern 's descending trendline . upswing expected kick $ 0.14 , ..."
99,newsbtc.com,"Oct 23, 2020",hoskinson accuses wikipedia censorship following refusal list cardano,"'s , considering cardano 's scientific credentials , hoskinson believes play merely inadequate source data project . brief ..."
100,AMBCrypto,"Dec 22, 2020","cardano , monero , bat price analysis : 22 december",cardano long-term bullish outlook traded mid-range establishing sweeping key highs lows . yet short-term momentum ...
101,finanzen.net,"Oct 30, 2020",natwest-aktie gefragt : natwest rechnet kreditausfällen ...,... stellar · verge · dash · cardano · monero · kryptowährungen kaufen · bitcoin kaufen · ethereum kaufen · ripple kaufen · bitcoin cash kaufen · litecoin kaufen ...
102,Yahoo Finance,"Nov 17, 2020",paog publishes q3 rpt including pura kaly acquisitions - key step closer dividend distribution,... dogecoin army recruit gene simmons turns cardano adherent — 's whydelay pfizer covid-19 vaccine 's 2nd inoculation boost supply ?
103,CryptoSlate,"Dec 4, 2020",next goguen update brings token locking cardano : ’ mean,"next big protocol upgrade planned cardano bring token locking blockchain , feature prepare platform smart contracts ..."
104,Altcoin Buzz,"Dec 19, 2020","crypto market update : blockstack ( stx ) , chainlink ( link ) , cardano ( ) - technical analysis","crypto market update : blockstack ( stx ) , chainlink ( link ) , cardano ( ) . btc breaks ath reached high $ 23,500+ . altcoins start ..."
105,AMBCrypto,"Oct 12, 2020",cardano ’ goguen roadmap scheduled release late-october,"cardano 's goguen roadmap scheduled release late-october . samyuktha sriram . published . 4 months ago . . october 12 , ..."
106,FXStreet,"Oct 22, 2020",cardano price forecast : flashes sell signal bears get ready control,"cardano found support $ 0.076 support line bounced . press time , trading $ 0.107 consolidating 100-day sma ( $ 0.114 ) ..."
107,BeInCrypto,1 month ago,cardano ( ) shoots highest weekly close since 2018,cardano process moving long-term $ 0.166 resistance area . · following short-term ascending support line . · 's likely extended ...
108,AMBCrypto,"Dec 18, 2020","cardano , iota , digibyte price analysis : 18 december","cardano , iota , digibyte price analysis : 18 december . jibin george . published . 2 months ago . . december 18 , 2020 ."
109,Crypto Briefing,"Dec 18, 2020",cardano poised retrace 30 % breakout,"key takeaways . cardano gone prolonged consolidation period kicked late november . remains stagnant , momentum ..."
110,Crypto News Flash,"Oct 14, 2020",github : cardano ( ) first place ethereum ( eth ) btc,"according latest data github , cardano highest developer activity month . place 2 ranking ethereum , bitcoin follows ..."
111,Crypto Briefing,"Oct 14, 2020",litecoin step closer cardano partnership `` velvet fork '',"litecoin preparing work cardano `` velvet fork . '' fork add several features including cross-chain fund settlement , smart contracts , ..."
112,Crypto News Flash,"Nov 2, 2020",hoskinson : cardano support donald trump legal elections,charles hoskinson offered cardano 's support president donald trump order track elections safely legally blockchain .
113,CoinJournal,"Oct 2, 2020",etoro first platform bring staking cardano ( ) .,"etoro users cardano tron holders get monthly staking rewards . trading system payout automated fully incorporated , ..."
114,FXStreet,"Oct 15, 2020","cardano price prediction : eying potential bounce , according technicals",cardano showing signs bullish strength . digital asset already confirmed daily uptrend establishing higher low $ 0.0893 compared last ...
115,FXStreet,"Nov 27, 2020","cardano price could facing steeper correction , suggests technicals","cardano price climb level avoid another pullback . 1-hour chart , bounded inside seems bear flag , bearish ..."
116,Nasdaq,"Oct 28, 2020",buzz-u.s. stocks move-chefs ' warehouse ...,"views opinions expressed herein views opinions author necessarily reflect nasdaq , inc. trending articles . cardano ..."
117,CryptoSlate,"Dec 17, 2020",cardano announces integration wolfram alpha create new type oracle,"cardano n't first blockchain integrated wolfram 's computational technology knowledge base , partnership still represents major step ..."
118,CryptoSlate,"Nov 19, 2020",shift k-parameter marks next phase cardano ’ decentralization,"cardano 's k-parameter set increase 500 dec. 6 , drastically diminishing rewards large , oversaturated stake pools . sharp rise parameter ..."
119,FXStreet,"Dec 4, 2020",cardano price prepares 30 % dump technicals turn bearish,cardano trading inside ascending triangle 1-hour chart breakdown december 4. losing trendline support $ 0.158 digital ...
120,BTCMANAGER,"Nov 10, 2020",ergo launches oracle solution cardano ( ) foster ...,"ergo wrote : “ cardano 's oracles utilizing data provided ergo 's oracle pools . marek , cardano stake pool operator , built simple solution ..."
121,FXStreet,"Nov 17, 2020",cardano price forecast : cusp remarkable 26 % rally $ 0.132,cardano 's bulls swing back action . smart contract token trading $ 0.105 time writing . support $ 0.1 played crucial role ongoing ...
122,FXStreet,"Nov 12, 2020",cardano price forecast : consolidation prevail ahead significant breakout,cardano plans hold consolidation ahead 32 % breakout $ 0.36 . cardano launches new decentralized oracles blockchain interoperability ...
123,newsbtc.com,"Oct 28, 2020",hoskinson estimates march 2021 full decentralization cardano network,iohk ceo charles hoskinson hosted surprise recently announced reduction cardano 's “ ” ( decentralization ) parameter 0.5 .
124,Investing.com UK,"Dec 18, 2020",palladium seen besting 'rocking ' platinum 2021 rally,"cryptocurrency leaders : cardano polkadot , four six hit ... andy hecht - feb 18 , 2021 1 · pinchas cohen/investing.com · chart day : ..."
125,Yahoo Finance,"Oct 21, 2020",exclusive : american eagle outfitters spend $ 5 million retail associates ’ education,... dogecoin army recruit gene simmons turns cardano adherent — 's whydelay pfizer covid-19 vaccine 's 2nd inoculation boost supply ?
126,The Crimson Quarry,1 month ago,"hoosiers score blowout win illinois , 79-56","cardano-hillary 's scoring punch primary reason iu added transfer spring , yet 's taken time former atlantic-10 player year ..."
127,TWJ News,"Dec 9, 2020",cardano [ ] fend bears speeds towards bullish realm,"cardano [ ] xrp seen topping list biggest losers ongoing bear market . coins like litecoin [ ltc ] , well chainlink [ link ] , ..."
128,FXStreet,"Dec 23, 2020",cardano price must defend level chance jumping towards $ 0.17,"cardano lost 12-hour chart uptrend 's struggling defend critical support level $ 0.144 . although bears control short-term , bulls still ..."
129,CryptoNinjas,"Dec 3, 2020",iohk plans achieve future cardano smart contract compatibility programming languages,"kevm allows developers deploy smart contract cardano blockchain platform written solidity , programming language used implement smart ..."
130,Bankless Times,"Dec 18, 2020",smart contract development cardano begun : iohk ...,"deployed cardano , allowing users advantage lower fees , higher speeds , enhanced functionality formally verified security ."
131,Crypto Briefing,"Nov 8, 2020","new addresses joining cardano jumps 202 % , takes aim yearly highs","cardano 's price action contained within 200- 100-day moving average past two months . approaches critical resistance barrier , ..."
132,CryptoSlate,"Nov 13, 2020","introducing beefchain , rancher-to-retail supply chain traceability solution using cardano",cardano 's atala trace cherry top various traceability solutions employed beefchain . enabling consumers track origin meat ...
133,CoinJournal,"Dec 11, 2020",cardano ( ) price outlook suggests 23 % dump ...,"cardano 's current price 20-ema ( $ 0.143 ) 50-ema ( $ 0.148 ) . price levels previously anchored , offering stubborn ..."
134,FXStreet,"Nov 28, 2020","top 3 gainers week verge , cardano , vechain : shrug-off broad corrective trend",cardano looks north amid bullish technical setup . vechain buyers seize control amid bullish crossover . crypto markets witnessed massive volatility past ...
135,Asia Crypto Today,"Nov 3, 2020",piedao ? decentralized tokenized etfs,cardano ( ) : cardano 2020 · chainlink ( link ) : chainlink token ? enjin ( enj ) : enjin ? hackenai ( ) : hackenai ?
136,Decrypt,"Oct 1, 2020",etoro unveils staking-as-a-service cardano tron,"etoro unveiled staking service tron cardano · platform allows users easily stake trx . · plans support neo , tezos , eos , eth ..."
137,Cointelegraph,"Dec 12, 2020","africa future defi , argues cardano ’ charles hoskinson",ceo cardano developers iohk sees promising path towards defi adoption throughout world 's second-most populous continent . 12438 total views .
138,FXStreet,"Nov 26, 2020",cardano price prediction : must overcome massive supply barrier extend recovery,"cardano 's current market capitalization registered $ 4.2 billion , average daily trading volumes settled $ 2.3 billion . cardano bulls waiting ..."
139,Coinspeaker,"Dec 13, 2020",ada/usd analysis : cardano officialy ...,week cardano foundation streaming back back important updates . daedalus better stake pool ranking mechanism final ...
140,Forbes,"Oct 1, 2020",etoro announces staking cardano tron,"etoro started offering staking services cardano tron , addition revealed plans expand service several digital currencies ."
141,AMBCrypto,"Dec 16, 2020","monero , cardano , bat price analysis : 15 december",monero showed bullish sentiment market past weeks exhibited bearish divergence could see price dip slightly . cardano ...
142,CryptoSlate,"Nov 24, 2020","cardano introduces smash , new open-source stake pool metadata aggregation server","cardano introduces smash , new open-source stake pool metadata aggregation server . priyeshu garg · november 24 , 2020 5:25 pm utc · 2 read ."
143,Bitrates,"Dec 7, 2020","litecoin-only visa card launched , hard forks , eth ...",cardano set hard fork ahead goguen upgrade . coinbase approves xrp spark coin drop litecoin-only visa card launches .
144,The Coin Radar,"Dec 13, 2020",origin dollar compensation plan marks progressing maturation defi space,... eos · cardano · tron · monero . industry . heatmap · people blockchain · blockchain youtube twitter accounts follow 2021 · events · tutorials .
145,Benzinga,"Oct 15, 2020","cardano , eos , & btt - american wrap october 15","current market capitalization cardano $ 3.3 billion , gaining around $ 500 million past week significant surge . digital asset topped ..."
146,The Coin Radar,"Nov 12, 2020",ecb ’ lagarde ‘ hunch ’ digital euro launch 2-4 years,... eos · cardano · tron · monero . industry . heatmap · people blockchain · blockchain youtube twitter accounts follow 2021 · events · tutorials .
147,Investing.com UK,"Nov 27, 2020",uk 's capita exclusive talks firm montagu ess ...,"cryptocurrency leaders : cardano polkadot , four six hit ... andy hecht - feb 18 , 2021 1 · pinchas cohen/investing.com · chart day : ..."
148,FXStreet,"Nov 5, 2020",cardano price attempts slice massive supply barrier aiming $ 0.11,cardano price bounded 50-sma 200-sma daily chart . td sequential indicator presented buy signal suggests price ...
149,BTC-ECHO,"Oct 6, 2020",blockchain-identität defi : schlägt brücke ...,cardano . $ 1.0916.99 % · aave . $ 486.2410.72 % · stellar . $ 0.5261562.53 % · iota . $ 1.531.38 % · kurse · krypto kaufen · btc-echo logo btc-echo ...
150,Crypto News Flash,"Dec 1, 2020",cardano changing parameter – deadline stake pool swap expires today,delegators funds staking pool saturation greater 30 % advised move . full decentralization cardano becoming ...
151,Cointelegraph,"Oct 1, 2020",australian dev aims bring cardano payments shopify stores,shopify stores could soon allow users pay products cardano tokens new app removes payment intermediaries . 9921 total views .
